Quantizer,Parameter,PSNR (dB),SSIM,Sparsity (% zeros)
Uniform,8,41.46163084523976,0.9839453642383006,44.307708740234375
Uniform,16,36.02738682537548,0.952370672257968,62.54692077636719
Uniform,32,31.05553780959005,0.8777887740197639,80.65032958984375
Deadzone,8,36.3917392446709,0.9615548354219148,54.89654541015625
Deadzone,16,31.524501838067035,0.9049449096630546,73.60610961914062
Deadzone,32,27.686286059841237,0.8017396989139358,88.45481872558594
JPEG,standard,30.21278242690659,0.8791238106407266,80.57975769042969
JPEG,x2,28.284772578763754,0.8172201933199724,88.06800842285156
JPEG,x4,26.582064066752796,0.7326818993896187,93.31130981445312
